zip_code,sex,pct_bachelors
54826,female,17.6
54827,male,31.2
54827,female,45.6
54828,male,22.2
54828,female,16.3
54829,male,22.2
54829,female,25.4
54830,male,20.1
54830,female,19.5
54832,male,30
54832,female,30.1
54835,male,9.8
54835,female,12.3
54836,male,8.9
54836,female,20.3
54837,male,14
54837,female,18.2
54838,male,16.8
54838,female,21.4
54839,male,11.8
54839,female,14.6
54840,male,17.2
54840,female,19.7
54841,male,8.9
54841,female,17.9
54842,male,18.4
54842,female,16.4
54843,male,26.9
54843,female,23
54844,male,40.8
54844,female,40.8
54845,male,5.4
54845,female,3.7
54846,male,13.3
54846,female,25.7
54847,male,22.4
54847,female,23.5
54848,male,14.3
54848,female,19.9
54849,male,32.6
54849,female,37.9
54850,male,52.3
54850,female,62.7
54853,male,17
54853,female,20.4
54854,male,23.1
54854,female,27.8
54855,male,16.3
54855,female,12.5
54856,male,14.2
54856,female,20.8
54857,male,35.7
54857,female,47.4
54858,male,11.4
54858,female,18.9
54859,male,21.5
54859,female,16.9
54861,male,0
54861,female,14.9
54862,male,6
54862,female,10.8
54864,male,24.4
54864,female,33.3
54865,male,27.6
54865,female,30.3
54867,male,11.5
54867,female,12
54868,male,17.9
54868,female,22.4
54870,male,22.6
54870,female,25.4
54871,male,19.7
54871,female,18
54872,male,17.3
54872,female,18.6
54873,male,22.7
54873,female,25.7
54874,male,19.9
54874,female,24.6
54875,male,12.4
54875,female,18.6
54876,male,23.2
54876,female,26.3
54880,male,20.8
54880,female,23.4
54888,male,16.9
54888,female,15.6
54889,male,14.1
54889,female,19.3
54891,male,39.3
54891,female,43.4
54893,male,18.8
54893,female,18.2
54895,male,17.4
54895,female,13.6
54896,male,12.5
54896,female,13.2
54901,male,19.2
54901,female,26.9
54902,male,20.4
54902,female,23.4
54904,male,36.7
54904,female,39.1
54909,male,15.9
54909,female,24.1
54911,male,27.5
54911,female,30.8
54913,male,45.2
54913,female,45
54914,male,26.1
54914,female,26.8
54915,male,31.6
54915,female,35.4
54921,male,11.1
54921,female,13.4
54922,male,7.3
54922,female,9.6
54923,male,11.3
54923,female,19.8
54927,male,17.8
54927,female,32.3
54928,male,11.8
54928,female,18.7
54929,male,12.2
54929,female,17.9
54930,male,14.9
54930,female,13.5
54931,male,6
54931,female,9.1
54932,male,14.6
54932,female,30.9
54933,male,5.1
54933,female,19.1
54934,male,2.7
54934,female,5.7
54935,male,22.6
54935,female,24.8
54937,male,24
54937,female,24.7
54940,male,17.8
54940,female,21.9
54941,male,33.2
54941,female,31.1
54942,male,42.3
54942,female,34.4
54943,male,9.3
54943,female,13.8
54944,male,24.6
54944,female,25.7
54945,male,22.5
54945,female,23.3
54946,male,29.3
54946,female,11.1
54947,male,18.8
54947,female,24.2
54948,male,2.7
54948,female,17.3
54949,male,10.8
54949,female,14.1
54950,male,6.2
54950,female,13
54952,male,22.3
54952,female,24.6
54956,male,31.8
54956,female,35.1
54960,male,13.8
54960,female,16.1
54961,male,14.1
54961,female,22.6
54962,male,10.9
54962,female,12.1
54963,male,21.6
54963,female,23.9
54964,male,15.1
54964,female,23.8
54965,male,11.7
54965,female,12.3
54966,male,7.8
54966,female,11.7
54967,male,11.8
54967,female,17.6
54968,male,14.6
54968,female,14.5
54970,male,8.4
54970,female,16.8
54971,male,24
54971,female,23.1
54974,male,19.6
54974,female,26.7
54977,male,20.1
54977,female,18.8
54979,male,15.2
54979,female,23
54980,male,8.8
54980,female,0
54981,male,22.8
54981,female,21.3
54982,male,16.6
54982,female,16.4
54983,male,16.8
54983,female,11.6
54984,male,15.1
54984,female,21.8
54985,male,0
54985,female,7.9
54986,male,24.3
54986,female,24.8
61072,male,30.4
61072,female,28.9
61080,male,18.8
61080,female,20.4
